word_id,book,chapter,verse,word_rank,word,gap_type
10814,MAT,18,17,5,εἰπὲ,unmatched
9244,MAT,15,30,7,μεθ᾽,unmatched
9249,MAT,15,30,12,κυλλούς,unmatched
9254,MAT,15,30,17,ἔρριψαν,unmatched
9259,MAT,15,30,22,τοῦ,unmatched
9260,MAT,15,30,23,Ἰησοῦ,unmatched
16592,MAT,26,30,6,Ὄρος,unmatched
3660,MAT,7,26,20,αὐτοῦ,unmatched
10989,MAT,18,26,8,Κύριε,unmatched
10991,MAT,18,26,10,ἐπ᾽,unmatched
10996,MAT,18,26,15,ἀποδώσω,unmatched
9413,MAT,15,39,14,Μαγδαλά,unmatched
16748,MAT,26,39,16,παρελθέτω,unmatched
16749,MAT,26,39,17,ἀπ᾽,unmatched
16759,MAT,26,39,27,ἀλλ᾽,unmatched
17456,MAT,27,4,8,εἶπον,unmatched
17461,MAT,27,4,13,ὄψει,unmatched
11139,MAT,18,35,4,πατήρ,unmatched
11142,MAT,18,35,7,ἐπουράνιος,unmatched
11156,MAT,18,35,21,τὰ,unmatched
11157,MAT,18,35,22,παραπτώματα,unmatched
11158,MAT,18,35,23,αὐτῶν,unmatched
17593,MAT,27,13,5,Πιλᾶτος,unmatched
3846,MAT,8,9,9,ὑπ᾽,unmatched
11308,MAT,19,9,11,εἰ,unmatched
11316,MAT,19,9,19,καὶ,unmatched
11317,MAT,19,9,20,ὁ,unmatched
11318,MAT,19,9,21,ἀπολελυμένην,unmatched
11319,MAT,19,9,22,γαμήσας,unmatched
11320,MAT,19,9,23,μοιχᾶται,unmatched
4021,MAT,8,18,5,πολλοὺς,unmatched
4022,MAT,8,18,6,ὄχλους,unmatched
11475,MAT,19,18,7,εἶπεν,unmatched
5912,MAT,11,14,7,Ἠλίας,unmatched
13148,MAT,21,46,8,ἐπειδὴ,unmatched
13149,MAT,21,46,9,ὡς,unmatched
6044,MAT,11,23,3,Καπερναούμ,unmatched
6045,MAT,11,23,4,ἡ,unmatched
6047,MAT,11,23,6,τοῦ,unmatched
6049,MAT,11,23,8,ὑψωθεῖσα,unmatched
6051,MAT,11,23,10,ᾅδου,unmatched
6052,MAT,11,23,11,καταβιβασθήσῃ,unmatched
6057,MAT,11,23,16,ἐγένοντο,unmatched
6064,MAT,11,23,23,ἔμειναν,unmatched
1258,MAT,4,2,4,τεσσαράκοντα,unmatched
1261,MAT,4,2,7,τεσσαράκοντα,unmatched
15905,MAT,25,34,4,βασιλεὺς,unmatched
15914,MAT,25,34,13,πατρός,unmatched
13304,MAT,22,10,11,ὅσους,unmatched
13313,MAT,22,10,20,γάμος,unmatched
1001,MAT,3,6,6,ὑπ᾽,unmatched
1181,MAT,3,15,6,πρὸς,unmatched
1182,MAT,3,15,7,αὐτόν,unmatched
8437,MAT,14,15,8,αὐτοῦ,unmatched
13574,MAT,22,28,4,ἀναστάσει,unmatched
8596,MAT,14,24,5,μέσον,unmatched
8598,MAT,14,24,7,θαλάσσης,unmatched
8599,MAT,14,24,8,ἦν,unmatched
13692,MAT,22,37,3,Ἰησοῦς,unmatched
13693,MAT,22,37,4,εἶπεν,unmatched
13698,MAT,22,37,9,θεόν,unmatched
8735,MAT,14,33,6,ἐλθόντες,unmatched
8740,MAT,14,33,11,θεοῦ,unmatched
8741,MAT,14,33,12,υἱὸς,unmatched
13812,MAT,22,46,5,ἀποκριθῆναι,unmatched
13817,MAT,22,46,10,ἀπ᾽,unmatched
8894,MAT,15,7,3,Προεφήτευσεν,unmatched
16215,MAT,26,7,6,ἔχουσα,unmatched
16220,MAT,26,7,11,τῆν,unmatched
16221,MAT,26,7,12,κεφαλὴν,unmatched
9014,MAT,15,16,3,Ἰησοῦς,unmatched
3386,MAT,7,12,4,ἂν,unmatched
10718,MAT,18,12,16,ἀφεῖς,unmatched
10720,MAT,18,12,18,ἐννενήκονταεννέα,unmatched
16497,MAT,26,25,11,ῥαββί,unmatched
3533,MAT,7,21,7,κύριε,unmatched
3540,MAT,7,21,14,ἀλλ᾽,unmatched
3546,MAT,7,21,20,πατρός,unmatched
10901,MAT,18,21,3,αὐτῷ,unmatched
11066,MAT,18,30,12,οὗ,unmatched
17511,MAT,27,8,7,Αἵματος,unmatched
3765,MAT,8,4,9,ἀλλ᾽,unmatched
3772,MAT,8,4,16,προσένεγκε,unmatched
3777,MAT,8,4,21,Μωσῆς,unmatched
11215,MAT,19,4,5,αὐτοῖς,unmatched
11220,MAT,19,4,10,ποιήσας,unmatched
11221,MAT,19,4,11,ἀπ᾽,unmatched
11227,MAT,19,4,17,αὐτούς,unmatched
3193,MAT,6,34,11,τὰ,unmatched
12889,MAT,21,32,5,Ἰωάννης,unmatched
12908,MAT,21,32,24,οὐ,unmatched
5824,MAT,11,9,3,ἐξήλθετε,unmatched
5826,MAT,11,9,5,προφήτην,unmatched
13051,MAT,21,41,10,ἐκδόσεται,unmatched
15641,MAT,25,20,23,ἐπ᾽,unmatched
15642,MAT,25,20,24,αὐτοῖς,unmatched
5503,MAT,10,31,3,φοβηθῆτε,unmatched
15814,MAT,25,29,8,ἀπὸ,unmatched
15816,MAT,25,29,10,τοῦ,unmatched
15823,MAT,25,29,17,ἀπ᾽,unmatched
13222,MAT,22,5,5,ὁ,unmatched
13228,MAT,22,5,11,ὁ,unmatched
13230,MAT,22,5,13,εἰς,unmatched
912,MAT,3,1,7,Ἰωάννης,unmatched
8223,MAT,14,1,6,Ἡρῴδης,unmatched
8225,MAT,14,1,8,τετράρχης,unmatched
13372,MAT,22,14,1,πολλοὶ,unmatched
1064,MAT,3,10,3,καὶ,unmatched
8354,MAT,14,10,4,τὸν,unmatched
8355,MAT,14,10,5,Ἰωάννην,unmatched
13501,MAT,22,23,8,οἵ,unmatched
8499,MAT,14,19,7,τοὺς,unmatched
8500,MAT,14,19,8,χόρτους,unmatched
8501,MAT,14,19,9,καὶ,unmatched
13634,MAT,22,32,4,θεὸς,unmatched
13638,MAT,22,32,8,θεὸς,unmatched
13642,MAT,22,32,12,θεὸς,unmatched
13647,MAT,22,32,17,θεὸς,unmatched
8072,MAT,13,51,1,Λέγει,unmatched
8073,MAT,13,51,2,αὐτοῖς,unmatched
8074,MAT,13,51,3,ὁ,unmatched
8075,MAT,13,51,4,Ἰησοῦς,unmatched
8082,MAT,13,51,11,κύριε,unmatched
8659,MAT,14,28,6,εἰπεν,unmatched
8668,MAT,14,28,15,ἐλθεῖν,unmatched
8797,MAT,15,2,1,Δια,unmatched
8812,MAT,15,2,16,αὐτῶν,unmatched
16150,MAT,26,2,11,υἱὸς,unmatched
16268,MAT,26,11,6,μεθ᾽,unmatched
10574,MAT,18,7,1,οὐαὶ,unmatched
10581,MAT,18,7,8,γάρ,unmatched
10582,MAT,18,7,9,ἐστιν,unmatched
10590,MAT,18,7,17,ἐκείνῳ,unmatched
10591,MAT,18,7,18,δι᾽,unmatched
3477,MAT,7,16,11,σταφυλὴν,unmatched
12594,MAT,21,18,1,Πρωΐας,unmatched
12596,MAT,21,18,3,ἐπανάγων,unmatched
12790,MAT,21,27,5,εἶπον,unmatched
